age_group,sex,year,rate_per_1000,prob,age_min,age_max
15-19,F,2007,3.51,0.0035099999999999997,15,19
20-29,F,2007,3.23,0.00323,20,29
30-39,F,2007,3.55,0.0035499999999999998,30,39
40-49,F,2007,3.53,0.0035299999999999997,40,49
50-59,F,2007,3.55,0.0035499999999999998,50,59
60-69,F,2007,4.19,0.00419,60,69
70+,F,2007,3.45,0.0034500000000000004,70,Inf
0-4,M,2007,36.63,0.03663,0,4
5-9,M,2007,10.87,0.01087,5,9
10-14,M,2007,4.78,0.00478,10,14
15-19,M,2007,1.92,0.0019199999999999998,15,19
20-29,M,2007,1.96,0.00196,20,29
30-39,M,2007,2.54,0.00254,30,39
40-49,M,2007,2.36,0.0023599999999999997,40,49
50-59,M,2007,2.53,0.0025299999999999997,50,59
60-69,M,2007,3.1,0.0031,60,69
70+,M,2007,3.48,0.00348,70,Inf
0-4,F,2008,25.46,0.02546,0,4
5-9,F,2008,8.16,0.00816,5,9
10-14,F,2008,4.87,0.00487,10,14
15-19,F,2008,3.27,0.00327,15,19
20-29,F,2008,3.13,0.00313,20,29
30-39,F,2008,3.33,0.00333,30,39
40-49,F,2008,3.45,0.0034500000000000004,40,49
50-59,F,2008,3.41,0.0034100000000000003,50,59
60-69,F,2008,3.79,0.00379,60,69
70+,F,2008,3.63,0.00363,70,Inf
0-4,M,2008,37.81,0.03781,0,4
5-9,M,2008,10.36,0.01036,5,9
10-14,M,2008,4.32,0.00432,10,14
15-19,M,2008,1.96,0.00196,15,19
20-29,M,2008,1.92,0.0019199999999999998,20,29
30-39,M,2008,2.53,0.0025299999999999997,30,39
40-49,M,2008,2.31,0.00231,40,49
50-59,M,2008,2.48,0.00248,50,59
60-69,M,2008,2.95,0.0029500000000000004,60,69
70+,M,2008,3.53,0.0035299999999999997,70,Inf
0-4,F,2009,25.69,0.02569,0,4
5-9,F,2009,9.45,0.00945,5,9
10-14,F,2009,5.14,0.00514,10,14
15-19,F,2009,3.37,0.00337,15,19
20-29,F,2009,2.95,0.0029500000000000004,20,29
30-39,F,2009,3.39,0.0033900000000000002,30,39
40-49,F,2009,3.38,0.0033799999999999998,40,49
50-59,F,2009,3.21,0.00321,50,59
60-69,F,2009,3.59,0.00359,60,69
70+,F,2009,3.15,0.00315,70,Inf
0-4,M,2009,37.39,0.03739,0,4
5-9,M,2009,11.36,0.011359999999999999,5,9
10-14,M,2009,4.69,0.004690000000000001,10,14
15-19,M,2009,1.95,0.00195,15,19
20-29,M,2009,1.78,0.0017800000000000001,20,29
30-39,M,2009,2.32,0.00232,30,39
40-49,M,2009,2.31,0.00231,40,49
50-59,M,2009,2.24,0.0022400000000000002,50,59
60-69,M,2009,2.76,0.00276,60,69
70+,M,2009,3.3,0.0033,70,Inf
0-4,F,2010,25.33,0.02533,0,4
5-9,F,2010,8.58,0.00858,5,9
10-14,F,2010,4.65,0.0046500000000000005,10,14
15-19,F,2010,2.95,0.0029500000000000004,15,19
20-29,F,2010,2.69,0.00269,20,29
30-39,F,2010,3.29,0.00329,30,39
40-49,F,2010,3.06,0.0030600000000000002,40,49
50-59,F,2010,2.92,0.00292,50,59
60-69,F,2010,3.48,0.00348,60,69
70+,F,2010,3.16,0.00316,70,Inf
0-4,M,2010,36.42,0.03642,0,4
5-9,M,2010,10.55,0.01055,5,9
10-14,M,2010,4.33,0.00433,10,14
15-19,M,2010,1.77,0.00177,15,19
20-29,M,2010,1.62,0.0016200000000000001,20,29
30-39,M,2010,2.18,0.00218,30,39
40-49,M,2010,2.18,0.00218,40,49
50-59,M,2010,2.2,0.0022,50,59
60-69,M,2010,2.62,0.00262,60,69
70+,M,2010,3.13,0.00313,70,Inf
0-4,F,2011,23.83,0.023829999999999997,0,4
5-9,F,2011,8.59,0.00859,5,9
10-14,F,2011,4.66,0.00466,10,14
15-19,F,2011,2.98,0.00298,15,19
20-29,F,2011,2.43,0.0024300000000000003,20,29
30-39,F,2011,3.06,0.0030600000000000002,30,39
40-49,F,2011,3.07,0.00307,40,49
50-59,F,2011,2.72,0.00272,50,59
60-69,F,2011,3.38,0.0033799999999999998,60,69
70+,F,2011,3.11,0.00311,70,Inf
0-4,M,2011,34.47,0.03447,0,4
5-9,M,2011,10.93,0.01093,5,9
10-14,M,2011,4.22,0.00422,10,14
15-19,M,2011,1.58,0.00158,15,19
20-29,M,2011,1.47,0.00147,20,29
30-39,M,2011,2.12,0.00212,30,39
40-49,M,2011,2.06,0.00206,40,49
50-59,M,2011,2.18,0.00218,50,59
60-69,M,2011,2.72,0.00272,60,69
70+,M,2011,3,0.003,70,Inf
0-4,F,2012,22.57,0.02257,0,4
5-9,F,2012,7.72,0.0077199999999999994,5,9
10-14,F,2012,4.19,0.00419,10,14
15-19,F,2012,2.9,0.0029,15,19
20-29,F,2012,2.35,0.00235,20,29
30-39,F,2012,2.93,0.0029300000000000003,30,39
40-49,F,2012,2.87,0.00287,40,49
50-59,F,2012,2.78,0.00278,50,59
60-69,F,2012,3.35,0.00335,60,69
70+,F,2012,3.3,0.0033,70,Inf
0-4,M,2012,33.17,0.033170000000000005,0,4
5-9,M,2012,9.82,0.00982,5,9
10-14,M,2012,3.95,0.00395,10,14
15-19,M,2012,1.43,0.0014299999999999998,15,19
20-29,M,2012,1.44,0.0014399999999999999,20,29
30-39,M,2012,2.02,0.00202,30,39
40-49,M,2012,2.01,0.0020099999999999996,40,49
50-59,M,2012,2.17,0.00217,50,59
60-69,M,2012,2.65,0.00265,60,69
70+,M,2012,3.09,0.00309,70,Inf
0-4,F,2013,22.13,0.02213,0,4
5-9,F,2013,7.29,0.00729,5,9
10-14,F,2013,4.16,0.0041600000000000005,10,14
15-19,F,2013,2.88,0.0028799999999999997,15,19
20-29,F,2013,2.3,0.0023,20,29
30-39,F,2013,2.96,0.00296,30,39
40-49,F,2013,2.94,0.00294,40,49
50-59,F,2013,2.82,0.00282,50,59
60-69,F,2013,3.35,0.00335,60,69
70+,F,2013,3.18,0.00318,70,Inf
0-4,M,2013,31.6,0.0316,0,4
5-9,M,2013,9.41,0.00941,5,9
10-14,M,2013,3.62,0.00362,10,14
15-19,M,2013,1.52,0.00152,15,19
20-29,M,2013,1.39,0.00139,20,29
30-39,M,2013,1.97,0.00197,30,39
40-49,M,2013,2.06,0.00206,40,49
50-59,M,2013,2.15,0.00215,50,59
60-69,M,2013,2.64,0.00264,60,69
70+,M,2013,3.19,0.00319,70,Inf
0-4,F,2014,23.21,0.02321,0,4
5-9,F,2014,7.94,0.007940000000000001,5,9
10-14,F,2014,4.73,0.004730000000000001,10,14
15-19,F,2014,3.18,0.00318,15,19
20-29,F,2014,2.18,0.00218,20,29
30-39,F,2014,2.68,0.00268,30,39
40-49,F,2014,2.82,0.00282,40,49
50-59,F,2014,2.68,0.00268,50,59
60-69,F,2014,3.39,0.0033900000000000002,60,69
70+,F,2014,3.12,0.00312,70,Inf
0-4,M,2014,33.34,0.03334,0,4
5-9,M,2014,10.38,0.01038,5,9
10-14,M,2014,4.06,0.004059999999999999,10,14
15-19,M,2014,1.49,0.00149,15,19
20-29,M,2014,1.34,0.00134,20,29
30-39,M,2014,1.85,0.00185,30,39
40-49,M,2014,2,0.002,40,49
50-59,M,2014,2.09,0.00209,50,59
60-69,M,2014,2.64,0.00264,60,69
70+,M,2014,3.08,0.0030800000000000003,70,Inf
0-4,F,2015,21.95,0.02195,0,4
5-9,F,2015,7.34,0.00734,5,9
10-14,F,2015,4.82,0.0048200000000000005,10,14
15-19,F,2015,2.96,0.00296,15,19
20-29,F,2015,2.17,0.00217,20,29
30-39,F,2015,2.42,0.00242,30,39
40-49,F,2015,2.77,0.00277,40,49
50-59,F,2015,2.6,0.0026,50,59
60-69,F,2015,3.19,0.00319,60,69
70+,F,2015,3.15,0.00315,70,Inf
0-4,M,2015,31.07,0.03107,0,4
5-9,M,2015,9.13,0.009130000000000001,5,9
10-14,M,2015,4.11,0.00411,10,14
15-19,M,2015,1.55,0.00155,15,19
20-29,M,2015,1.29,0.0012900000000000001,20,29
30-39,M,2015,1.78,0.0017800000000000001,30,39
40-49,M,2015,1.99,0.00199,40,49
50-59,M,2015,2.01,0.0020099999999999996,50,59
60-69,M,2015,2.61,0.00261,60,69
70+,M,2015,2.87,0.00287,70,Inf
0-4,F,2016,21.41,0.02141,0,4
5-9,F,2016,6.82,0.0068200000000000005,5,9
10-14,F,2016,4.64,0.00464,10,14
15-19,F,2016,2.84,0.0028399999999999996,15,19
20-29,F,2016,2.11,0.00211,20,29
30-39,F,2016,2.47,0.0024700000000000004,30,39
40-49,F,2016,2.6,0.0026,40,49
50-59,F,2016,2.48,0.00248,50,59
60-69,F,2016,3.18,0.00318,60,69
70+,F,2016,3.03,0.0030299999999999997,70,Inf
0-4,M,2016,29.56,0.02956,0,4
5-9,M,2016,8.96,0.008960000000000001,5,9
10-14,M,2016,3.97,0.0039700000000000004,10,14
15-19,M,2016,1.55,0.00155,15,19
20-29,M,2016,1.24,0.00124,20,29
30-39,M,2016,1.69,0.0016899999999999999,30,39
40-49,M,2016,1.77,0.00177,40,49
50-59,M,2016,1.98,0.00198,50,59
60-69,M,2016,2.61,0.00261,60,69
70+,M,2016,2.88,0.0028799999999999997,70,Inf
0-4,F,2017,19.23,0.01923,0,4
5-9,F,2017,6.47,0.00647,5,9
10-14,F,2017,4.53,0.00453,10,14
15-19,F,2017,2.72,0.00272,15,19
20-29,F,2017,1.84,0.00184,20,29
30-39,F,2017,2.25,0.00225,30,39
40-49,F,2017,2.43,0.0024300000000000003,40,49
50-59,F,2017,2.35,0.00235,50,59
60-69,F,2017,2.81,0.00281,60,69
70+,F,2017,3.08,0.0030800000000000003,70,Inf
0-4,M,2017,27.84,0.02784,0,4
5-9,M,2017,8.53,0.00853,5,9
10-14,M,2017,3.72,0.0037200000000000002,10,14
15-19,M,2017,1.44,0.0014399999999999999,15,19
20-29,M,2017,1.17,0.00117,20,29
30-39,M,2017,1.59,0.00159,30,39
40-49,M,2017,1.78,0.0017800000000000001,40,49
50-59,M,2017,1.88,0.00188,50,59
60-69,M,2017,2.34,0.00234,60,69
70+,M,2017,2.74,0.0027400000000000002,70,Inf
0-4,F,2018,12.94,0.01294,0,4
5-9,F,2018,3.98,0.00398,5,9
10-14,F,2018,2.6,0.0026,10,14
15-19,F,2018,1.76,0.00176,15,19
20-29,F,2018,1.14,0.00114,20,29
30-39,F,2018,1.3,0.0013,30,39
40-49,F,2018,1.34,0.00134,40,49
50-59,F,2018,1.35,0.00135,50,59
60-69,F,2018,1.75,0.00175,60,69
70+,F,2018,1.91,0.00191,70,Inf
0-4,M,2018,17.98,0.01798,0,4
5-9,M,2018,4.9,0.004900000000000001,5,9
10-14,M,2018,2.22,0.00222,10,14
15-19,M,2018,0.87,8.7e-4,15,19
20-29,M,2018,0.74,7.4e-4,20,29
30-39,M,2018,0.95,9.5e-4,30,39
40-49,M,2018,0.93,0.00093000000000000005,40,49
50-59,M,2018,1.18,0.0011799999999999998,50,59
60-69,M,2018,1.5,0.0015,60,69
70+,M,2018,1.75,0.00175,70,Inf
